title,year,genre,duration,summary,link
צוות ההרס,2026,"פעולה, קומדיה, פשע",כ־110 דק',"📝 תקציר: צוות של סוכנים לשעבר נקרא לחזור לפעולה במשימה שנראית פשוטה על הנייר. מהר מאוד העניינים מסתבכים, והמבצע גולש לכאוס של פיצוצים, בגידות ואקשן בלתי פוסק. בין קרבות ירי להומור חד, החבורה מגלה שלא ניתן לסמוך על אף אחד. כשהשעון מתקתק, הם מבינים שהדרך היחידה לצאת מזה חיים היא להרוס הכול בדרך.",https://drive.google.com/file/d/1Lk7Cu-7yY3qCjeYvUThRlYc8Dm6mViXo/view?usp=drivesdk
ציידי הקרטלים,2025,"פעולה, פשע, מתח",כ־110 דק',"📝 תקציר: יחידת אכיפה מיוחדת פועלת באזורי גבול מסוכנים במטרה להפיל קרטלי סמים אלימים. כל מבצע הופך למסוכן יותר כשהקרטלים מגיבים באכזריות ומפעילים רשתות חיסול מתוחכמות. בין מרדפים, יריות ובגידות, חברי היחידה מגלים שהאויב האמיתי לא תמיד נמצא מעבר לגבול. סרט פעולה קשוח עם קצב גבוה ואווירה מתוחה.",https://drive.google.com/file/d/1kcMI0y3kEKWvzqGqBiOTuOFOn7uoR0We/view?usp=drivesdk
לנצח נצחים,2025,"דרמה, רומנטיקה, מדע בדיוני",כ־112 דק',"📝 תקציר: בעולם שבו טכנולוגיה חדשנית מבטיחה להאריך חיים ואף “להקפיא” רגעים לנצח, זוג אוהבים ניצב בפני החלטה גורלית. כאשר מחלה קשה מאיימת להפריד ביניהם, מוצעת להם אפשרות לשנות את חוקי הזמן עצמו. אך ככל שהם מתקרבים לבחירה, הם מגלים שלחיי נצח יש מחיר רגשי ומוסרי כבד. דרמה רומנטית מרגשת על אהבה, זמן והמשמעות האמיתית של לנצח. אצלכם🔥 מבית דרייבפליקס🫰🏼",https://drive.google.com/file/d/1wwmMD3Kiiv3-MBatRKaJaAx-ClaqM-Xh/view?usp=drivesdk
הנאשם,2026,"פעולה, מתח",כ־100 דק,"📝 תקציר: בלש לשעבר מוצא את עצמו מואשם בפשע שלא ביצע ונרדף בידי הרשויות. כשהראיות נערמות נגדו, הוא מבין שמדובר במזימה מתוכננת היטב שמטרתה להשתיק אותו. במרוץ נגד הזמן הוא יוצא לחשוף את האמת, תוך שהוא נמלט מכוחות החוק ומהאויבים שמאחורי הקלעים. מותחן אקשן קצבי על הישרדות, צדק וניסיון לנקות את השם בכל מחיר.",https://drive.google.com/file/d/1aKnTMUTxONzNFkkrEGBuqyroFEODzQpv/view?usp=drivesdk
עוזרת הבית,2025,"מתח, דרמה",כ־105 דק',"📝 תקציר: אישה צעירה מתקבלת לעבודה כעוזרת בית בבית יוקרתי ומסתורי. בהתחלה הכול נראה מושלם, אך אט־אט נחשפים סודות מטרידים והתנהגות חריגה של בני הבית. המתח גובר כשהיא מבינה שהיא חלק ממשחק מסוכן של שליטה ומניפולציה. האמת שמתגלת מאיימת לשנות את חייה – ואולי אף לסכן אותם. כולנו חיכינו לו ועכשיו הוא כאן 🔥_",https://drive.google.com/file/d/1eFBKdEuoVGi7mUyH_SL2jcwo-dmJeG41/view?usp=drivesdk
הסוכן החשאי,2015,"דרמה, מתח, ריגול",כ־100 דק',"📝 תקציר: בעולם של קונספירציות ואינטרסים סמויים, סוכן חשאי מוצא את עצמו בלב מזימה פוליטית מסוכנת. כשהוא נשלח למשימה שנראית שגרתית, מתברר לו שהוא רק כלי במשחק גדול בהרבה. רשת של בגידות, לחצים וסודות מאיימת לחשוף את האמת – אך גם לסכן את חייו. מותחן ריגול קודר על נאמנות, זהות והמחיר של חיים בצללים.",https://drive.google.com/file/d/13SZ-b-VALzxjdtD9ikYccwqNKf7rfzbe/view?usp=drivesdk
משפחה נורמלית,2023,"דרמה, מתח",כ־115 דק',"📝 תקציר: שני אחים מצליחים ובני משפחותיהם נפגשים לארוחות ערב שגרתיות לכאורה, אך מתחת לפני השטח רוחשים מתחים וסודות. כאשר אירוע אלים מטלטל את חייהם, הם נאלצים להתמודד עם דילמה מוסרית קשה שמעמידה את ערכיהם למבחן. הגבול בין נאמנות משפחתית לצדק מתחיל להיטשטש, והחלטותיהם חושפות צדדים אפלים שלא הכירו. דרמה מתוחה וחודרת על מוסר, הורות והמחיר של שמירה על תדמית “נורמלית”.",https://drive.google.com/file/d/1cKED29j7GReT68aTd0f5nSXdDN_5u3A8/view?usp=drivesdk
כביש הגנבים,2025,"פעולה, פשע, מתח",כ־110 דק',"📝 תקציר: נהג משאיות לשעבר נשאב לעולם ההברחות לאורך ציר כביש מסוכן הנשלט בידי ארגוני פשע. כשהוא מסתבך בעסקה גדולה מדי, הוא מגלה שרשת שלמה של מושחתים – מעבריינים ועד גורמים בכירים – מעורבת במשחק. המרדף אחר כסף גדול הופך למאבק הישרדות על החיים עצמם. מותחן כבישים קשוח עם אווירה אפלה והרבה אקשן תחת לחץ.",https://drive.google.com/file/d/1WRsJd4ZiUeJl-D6ZHLNdYyeKWskDFPUc/view?usp=drivesdk
לוויתן קטלני,2024,קומדיה,כ־84 דק',"📝 תקציר: צוות חוקרים יוצא למשימה ימית שגרתית בלב האוקיינוס, אך נתקל בלוויתן קטלני ואגרסיבי במיוחד. מה שמתחיל כתיעוד מדעי הופך במהרה למאבק הישרדות אכזרי מול יצור אינטליגנטי וחסר רחמים. כשהספינה ניזוקה והעזרה רחוקה, הצוות נאלץ להתמודד עם פחד, לחץ והים הסוגר עליהם. מותחן ימי מצמרר על הטבע כשהוא יוצא משליטה. שבת מכה 🔥 קומדיה חדה ושנונה שמביאה את הכאוס המשפחתי אל המסך הגדול בצורה מצחיקה במיוחד. 🎥 הוקרן בפסטיבלים וזכה לתגובות חמות מהקהל על הקצב הקומי והדיאלוגים השנונים. 📝 תקציר: ארוחת שבת חגיגית שבה שני זוגות הורים נפגשים לראשונה יוצאת במהירות משליטה. שרשרת טעויות, סודות והפתעות בלתי צפויות הופכים את הערב למערבולת קומית בלתי נשכחת. קומדיה קצבית על משפחה, תרבות ומה קורה כשהכול משתבש ברגע הלא נכון. https://drive.google.com/file/d/1zUFf6QMzEIcals9yfyNh3g5JyL-X1Ngh/view?usp=drivesdk",https://drive.google.com/file/d/155LeB61PaBYXFxlAqrB3RqAcj60nWavM/view?usp=drivesdk
ליל הדובים,2026,"אימה, מתח, הישרדות",כ־102 דק',"📝 תקציר: קבוצת מטיילים יוצאת לחופשת קמפינג באזור הררי ומבודד, אך הלילה מקבל תפנית קטלנית. דוב גריזלי עצום ומסוכן מתחיל לתקוף לאחר שטריטוריית המחיה שלו מופרעת. כשהם לכודים ביער חשוך ללא קליטה או דרך מילוט ברורה, עליהם להילחם כדי לשרוד. מותחן הישרדות אינטנסיבי עם טבע פראי שהופך לזירת אימה חסרת רחמים.",https://drive.google.com/file/d/1Qz_fzOdzsUNIBvz63sJMNqQmOyCneThm/view?usp=drivesdk
